Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
SHA3,PoW/nPoS,63657220.0,78000000.0,-0.24436620940750933,2.6607989699500587,-0.31893910365473355,0,Nexus
X11,PoW,32221574.820996,33000000.0,-0.22316882518829703,-0.8593758277960637,0.0634997540971427,3,MarsCoin 
Lyra2RE,PoW,13742738.0,65789100.0,-0.14339668408563097,-2.145921546792788,0.3964871162562936,3,Crypto
SHA-256,PoW,14747200.0002,53760000.0,-0.1417141218931853,-1.301423176547673,0.2096389959264052,3,Anarchists Prime
QUAIT,PoW/PoS,8568038.35935056,5060000.0,-0.42049556471724736,1.9461324373657451,-0.6008368581059321,0,Droidz
X11,PoW,15863837.5,21000000.0,-0.22345392946421913,-0.8593777000874812,0.06350472294060099,3,BowsCoin
X11,PoS/PoW,329200.01639,0.0,-0.30324306626771397,1.0397228461707453,-0.21520388678807703,0,Squall Coin
Scrypt,PoW,32565300.0,210240000.0,-0.1698243959086652,-1.163695511721551,-0.055904569743275484,3,Song Coin
Scrypt,PoW,75614500.0,250000000.0,-0.1690160048138166,-1.1636943181772315,-0.0559182807171654,3,BitZeny
Scrypt,PoS,100000000.0,100000000.0,-0.2873452598803744,0.7928344428635374,-0.2931936090900847,0,Diggits
Ethash,PoW,10495278.0,16906397.0,-0.14893812067908924,-1.997674255867859,0.3423051821665267,3,Expanse
X13,PoW/PoS,23042604.0,50000000.0,-0.27601560509608053,1.8214298431381797,-0.5273371983151918,0,Paycon
Blake2b,PoW,33098296530.0,0.0,0.38061257910634944,-2.216220513494086,0.37061879730168495,3,Siacoin
SHA-256,PoW/PoS,43059794.804778,1000000000.0,-0.3084496761891353,0.862500990004257,-0.29107611757427504,0,Emercoin
X15,PoW/PoS,13530556.4180753,26298000.0,-0.2503994351443803,1.9108740501999333,-0.5832535814168961,0,EverGreenCoin
X11,PoW,15867695.0,16000000.0,-0.22348938255486264,-0.8593754158410005,0.06350510974233853,3,MindCoin
SHA-256,PoW,20997476.8650231,21000000.0,-0.14187033638139215,-1.3014054129698824,0.2096399934853391,3,I0coin
BLAKE256,PoW/PoS,10365046.9281661,21000000.0,-0.06901929078761465,0.9023616490011721,-0.4100751071737409,0,Decred
Scrypt,PoW,210000000.0,210000000.0,-0.16765771589053616,-1.1636156721644393,-0.05594835442628733,3,Revolution VR
1GB AES Pattern Search,PoW,11448949.0,81962100.0,-0.12155849311165082,-2.1949426750901972,0.34969007274915387,3,HOdlcoin
SHA-256,PoW/PoS,3669691.84494672,22000000.0,-0.3158748979610488,0.8629297496910117,-0.2909905486516702,0,EDRCoin
X11,PoW/PoS,10996318099.0,26550000000.0,-0.07470738132194067,1.2977891966083357,-0.4418981089075662,0,Hitcoin
Scrypt,PoW,69836100.0,84000000.0,-0.1702652288682336,-1.163621135256415,-0.05590398076977904,3,Gamecredits
SHA-256,PoW/PoS,5129014.0,10500000.0,-0.3159387144926862,0.8629356552152432,-0.29099001708016636,0,DubaiCoin
SHA-256,PoW,21739971929.0,21626280000.0,0.27695017955410256,-1.3015088938102757,0.20260272447195246,3,CarpeDiemCoin
NIST5,PoW/PoS,10069449031.9252,0.0,-0.23545641545927648,1.5579621266597263,-0.49794316855085896,0,PWR Coin
Scrypt,PoW/PoS,8998743.2411911,42000000.0,-0.34510681177830244,1.000714106061361,-0.5565204470163341,0,BillaryCoin
Scrypt,PoS,40477042.0,221052632.0,-0.28721319539880996,0.7927524354741694,-0.29318830238990906,0,GPU Coin
X11,PoW,45110324.0,84000000.0,-0.2226492127172099,-0.8593933178912044,0.06349261716110759,3,Adzcoin
Dagger,PoW,5702048.0,30000000.0,-0.15355990667122515,-2.2100181309534297,0.3882048366829862,3,SoilCoin
Scrypt,PoW,636462.55983338,168351300.0,-0.17051200176933567,-1.1636907365917406,-0.05589343897031075,3,YoCoin
X11GOST,PoW,17263355.0,24000000.0,-0.1497485014310202,-2.1973327225746204,0.4026906543916101,3,SibCoin
X11,PoW/PoS,10407269.7881868,384000000.0,-0.39474319912865874,1.304797542935977,-0.4371568232355964,0,EuropeCoin
